,,МОЩНОСТЬ,КРУТ.МОМ.,СКОРОСТЬ,РАЗГОН,УПРАВЛ,ПРОХОД,МЕТКИ,Цена,НАЛИЧИЕ В САЛОНЕ
У,,"0,8",1,1,"1,8","0,8","0,8",,,
Ford 	  Mustang,,147,292,200,"9,7",72,33,класс B             купе                  США                       90                            2,12 000 /,3
Г,,"1,1","1,3","1,2",2,"0,8","0,8",,,
Porsche	             968,,240,305,252,"6,5",95,32,класс C             хэтчбек               Германия                     90                               2                комфорт,18 400 /,3
У,,1,"1,2","1,2","1,5",1,"0,8",,,
Chevrolet	Suburban,,250,455,160,"10,3",36,152,класс C             внедорожник               США                     90                               2                                   комфорт,21 000 /,3
У,,"1,2","1,1","0,8","1,3","0,8",1,,,
BMW	           850 CSi,,380,550,260,6,90,27,класс   D           купе               Германия                    90                              3                  комфорт,28 000 /,2
У,,"1,1","0,7","1,4","1,5","1,2","0,8",,,
BMW	          Alpina B12 5.0,,349,470,281,"6,8",92,26,класс D             купе               Германия                    90                              3                  комфорт,30 000 /,2
Г,,"1,1",1,"1,4","1,6","1,2","0,8",,,
Ferrari	              456 GT,,442,540,298,"5,4",97,30,класс D             купе               Германия                     90                              3                      комфорт,36 000 /,2
Г,,"1,1",1,"1,2","1,2","1,2","0,8",,,
BMW	      Nazca C2,,355,470,297,"4,3",99,20,класс D             купе               Германия                     90                              5                                                        коллекция,42 000 /,1
Г,,"1,3","1,1","1,3","1,2","1,4","0,6",,,
,ДЕЛЬтА,,,,,,,,,
Renault	  Safrane,,132,170,203,"11,2",76,42,класс   B           седан                  Франция                       90                            2                          комфорт,11 000 /,3
У,,"0,9",1,1,2,"0,8",1,,,
BMW	         318is,,140,180,213,"10,2",84,34,класс B            купе               Германия                     90                               1,11 100 /,4
У,,"0,9","0,9",1,2,"0,8","0,8",,,
Ford              	F-150,,185,366,169,"13,1",37,170,класс C             внедорожник               США                     90                               2,19 000 /,3
В,,"1,1","1,2","0,8","1,7","0,8","1,2",,,
Ford 	         Escort RS Cosworth,,227,298,222,"6,2",88,84,класс  C            хэтчбек               США                    90                               3                           hot hatch,20 000 /,2
Г,,1,"1,1","0,9","1,4",1,1,,,
Porsche                  928 GTS,,350,500,275,"5,6",97,30,класс  D            купе               Германия                    90                              3,29 200 /,2
Г,,1,"0,8","1,2","1,4","1,2","0,8",,,
Porsche	        911 Turbo,,360,520,280,"4,7",95,29,класс  D            купе               Германия                    90                              3,29 400 /,2
Г,,1,"0,8",1,1,"1,2","0,8",,,
Porsche                     968 Turbo RS,,337,507,290,"4,9",100,27,класс  D            купе               Германия                     90                              5                                автоспорт                             коллекция,39 000 /,1
С,,"1,1","0,8","1,1","1,1","1,2","0,8",,,
BMW	   Nazca M12,,300,450,295,5,95,20,класс D             купе               Германия                     90                              5                                                        коллекция,40 000 /,1
Г,,"1,3","1,1","1,3","1,2","1,4","0,6",,,
Porsche	        962CR,,608,650,370,"3,6",119,14,класс R             купе               Германия                     90                              5                                                        автоспорт,50 000 /,1
Г,,"1,3","1,2","0,7","0,8","1,5","0,6",,,
,1994,,,,,,,,,
,АЛЬФА,,,,,,,,,
Renault	     Laguna 1.6,,107,148,195,"11,5",75,35,класс B            хэтчбек                  Франция                       90                             1,8300 /,4
У,,"0,9",1,"0,9",2,"0,8",1,,,
Chevrolet	     Blazer,,122,176,160,13,44,157,класс B            внедорожник               США                     90                              1,11 800 /,4
У,,"0,8","1,2","0,6","1,6","0,8",1,,,
Chevrolet	   Beretta GTZ,,163,187,210,"7,8",74,38,класс B             купе                  США                       90                            2,12 500 /,3
Г,,1,"1,2","1,2","1,6",1,"0,8",,,
Chevrolet	        Tahoe,,203,420,168,"11,1",39,180,класс  C            внедорожник               США                     90                               2                                   комфорт,20 000 /,3
В,,"1,1","1,3","0,8","1,2","0,8","0,8",,,
Porsche                 911,,272,330,267,"5,3",99,30,класс C             купе               Германия                     90                             2,21 000 /,3
Г,,"1,1","1,1","1,1","1,1",1,"0,7",,,
Renault    	Laguna BTCC,,260,290,248,"5,7",100,22,класс  C            хэтчбек                   Франция                    90                              5                          автоспорт,36 800 /,1
С,,"1,1","1,1","1,3","1,3","0,8","0,6",,,
Ferrari	            348 GT Competizione,,320,340,290,"5,1",121,26,класс  D            купе               Италия                     90                              4                         автоспорт,37 000 /,1
Г,,1,"1,1","1,2",1,"1,2","0,7",,,
Renault	   Alpine A 610 Le MAn,,313,389,283,"5,1",114,18,класс  D            купе                   Франция                    90                              5                          автоспорт,40 000 /,1
С,,1,1,"1,2","1,2",1,"0,7",,,
,бета,,,,,,,,,
Ford 	        Fiesta RS1800,,128,161,197,"8,3",87,30,класс B              хэтчбек                  США                       90                             1,9700 /,4
У,,"0,9","0,9","0,9","1,5","0,8","0,8",,,
Renault	  Safrane,,137,182,196,"10,9",76,42,класс B             седан                  Франция                       90                            2                          комфорт,11 300 /,3
У,,"0,9",1,1,2,"0,8",1,,,
Ford 	       Ranger,,145,224,150,15,40,170,класс  B            внедорожник               США                     90                              2,13 800 /,3
,,"0,9","1,1","0,5","1,5","0,8","1,2",,,
BMW	           535i Sedan,,286,400,250,"6,4",76,40,класс  C            седан               Германия                     90                             2                        комфорт,19 500 /,3
У,,"1,1",1,"1,3","1,2","0,8","0,8",,,
Porsche	          911 Carrera 4,,250,310,256,"6,2",97,64,класс  C            купе               Германия                     90                             2,21 400 /,3
Г,,"1,1","1,1","1,1","1,4",1,1,,,
Ford 	      Escort RS Cosworth Rally Car,,240,305,240,6,99,89,класс C            хэтчбек              США                    90                              5                     автоспорт,33 300 /,1
В,,1,1,"1,1","1,5",1,1,,,
Ferrari	               F 512 M,,440,500,315,"4,7",110,25,класс  E            купе               Италия                     90                             4                            коллекция,38 000 /,1
Г,,"1,2","1,1","1,5","1,1","1,3","0,6",,,
Citroen	            ZX Rally Raid 94,,300,590,180,6,88,139,класс D             хэтчбек                   Франция                    90                              5                          автоспорт,44 000 /,1
В,,1,"0,8",1,1,1,1,,,
,ГАММА,,,,,,,,,
Chevrolet 	Beretta Z26,,150,240,190,"9,2",70,39,класс B             купе                США                       90                             1,9900 /,4
У,,1,1,"1,2","1,8",1,"0,8",,,
BMW	          325tds Sedan,,143,260,214,"10,4",83,36,класс B            седан               Германия                     90                               2,11 100 /,3
У,,"0,9","0,8","1,1","2,1","0,8","0,8",,,
Ford 	 Mustang  Cobra,,240,386,225,"6,3",79,34,класс  C            купе                  США                       90                            2                         muscle car,16 000 /,3
Г,,"1,2","1,3","1,3","1,5","0,8","0,8",,,
BMW                  M3,,243,305,220,"6,9",94,28,класс  C            купе               Германия                     90                             2,18 300 /,3
Г,,"1,1",1,"1,3","1,7","0,8","0,8",,,
Porsche	           968 Turbo S,,305,498,282,"4,9",95,31,класс  D            купе               Германия                    90                              3,27 300 /,2
Г,,"1,2","0,8",1,1,"1,2","0,8",,,
"Chevrolet   	Corvette ZR1 Sport Coupe ""40th Anniversary""",,405,540,288,"4,6",90,29,класс  D            купе               США                    90                              4                              коллекция,34 300 /,1
Г,,"1,1","1,1","1,5","1,1","1,2","0,8",,,
Lamborghini	Diablo SE 30,,525,585,333,"3,8",98,20,класс  E            купе               Италия                     90                              4                             widow maker,38 000 /,1
Г,,"1,3","1,2","1,4","0,7","1,4","0,6",,,
,дельта,,,,,,,,,
Ford 	   Scorpio,,147,202,210,"9,8",68,45,класс  B            седан                США                       90                             2                         комфорт,10 400 /,3
У,,1,"1,2","1,2","1,8","0,8",1,,,
Ford 	 Maverick,,118,191,160,"14,3",48,146,класс B             внедорожник               США                     90                              1,11 000 /,4
У,,"0,7",1,"0,6","1,6","0,8",1,,,
Chevrolet	         Impala SS,,264,447,195,"8,3",65,41,класс  C            седан                  США                       90                            2                        комфорт,16 200 /,3
У,,"1,3","1,2","1,3","1,7","0,7",1,,,
Ford 	   Bronco XLT Sport,,185,366,160,16,39,175,класс  C            внедорожник               США                     90                               2,16 400 /,3
В,,"0,9",1,"0,7","1,8","0,8",1,,,
Ferrari	              F 355 Berlinetta,,380,363,295,"4,6",108,26,класс  D            купе               Италия                    90                              3,30 000 /,2
Г,,1,"1,1","1,2",1,"1,2","0,7",,,
Chevrolet	         Corvette  Brickyard 400,,330,490,270,5,89,31,класс  D            купе              США                    90                              4                        коллекция,30 000 /,1
Г,,"1,2","1,2","1,5","1,2","1,2","0,8",,,
Lamborghini	Diablo VT,,530,605,335,"3,9",94,51,класс E             купе               Италия                     90                              3,39 000 /,2
Г,,"1,3","1,1","1,3","0,8","1,4","0,8",,,
Lamborghini	LM 002 Rally Car,,600,680,225,"7,2",48,179,класс   E          внедорожник             Италия                     90                             5                            автоспорт,46 000 /,1
В,,"0,9","0,9","0,6","0,7","0,8",1,,,
,1996,,,,,,,,,
,АЛЬФА,,,,,,,,,
Ford	                   Fiesta,,75,110,170,"12,2",69,34,класс  A            хэтчбек                 США                       90                             1,5200 /,4
У,,"0,7","0,8","0,8",2,"0,6","0,8",,,
BMW	           525i Sedan,,170,245,228,"8,5",84,39,класс  B            седан                  Германия                       90                             2,13 000 /,3
У,,1,1,"1,1","1,6","0,7",1,,,
Chevrolet	           Blazer ZR2,,193,338,180,"10,1",51,149,класс   C           внедорожник               США                     90                              2,14 000 /,3
У,,"0,8","0,9","0,7","1,3","0,7","1,1",,,
Porsche	        911 Turbo,,408,540,290,"4,5",105,62,класс  E            купе               Германия                    90                              3,30 000 /,2
Г,,"1,3",1,"1,1","0,9","1,2","0,8",,,
Porsche	             911 GT2,,430,540,295,"4,4",99,26,класс  E            купе               Германия                    90                              3                                 widow maker,31 700 /,2
Г,,1,1,"1,2",1,"1,2","0,6",,,
Lamborghini	Diablo SVR,,537,580,333,"3,7",103,19,класс E             купе               Италия                     90                              4                             widow maker,38 500 /,1
Г,,"1,3","1,4","1,5","0,7","1,4","0,6",,,
Lamborghini	Cala,,400,315,291,5,106,24,класс D             купе               Италия                     90                              5                              коллекция,40 000 /,1
Г,,"0,8","1,5","1,2","1,2","1,4","0,6",,,
Renault	     Sport Spider V6 Le Mans,,510,618,326,"3,4",125,11,класс R            купе             Франция                     90                             5                            автоспорт,44 700 /,1
С,,"1,1","1,1","1,2","0,8","1,5","0,6",,,
,бета,,,,,,,,,
Renault	   Megane,,75,107,170,"13,8",78,39,класс A             хэтчбек                  Франция                       90                             1,6200 /,4
У,,"0,8","0,8","0,8","2,2","0,6","0,8",,,
Renault	        Sport Spider,,150,185,215,"6,9",98,17,класс B             купе                Франция                      90                             2,13 000 /,3
Г,,"0,7","0,9","1,1","1,6","1,2","0,6",,,
Chevrolet	   Camaro RS,,200,305,226,"7,6",91,31,класс  C            купе                  США                       90                            2                            muscle car,14 800 /,3
Г,,"1,2","1,2","1,4","1,6","0,9","0,8",,,
Chevrolet	 Corvette Grand Sport Coupe,,335,461,266,5,87,28,класс  D            купе                США                       90                           4,28 800 /,1
Г,,"1,2","1,2","1,5","1,2","1,2","0,8",,,
Ford 	      Escort RS Cosworth Rally Car,,240,305,240,6,99,89,класс C            хэтчбек              США                    90                              5                     автоспорт,31 300 /,1
В,,1,1,"1,1","1,5",1,1,,,
Ferrari	                F 355 Challenge,,380,363,297,"4,5",119,23,класс D             купе               Италия                     90                              3                      автоспорт,32 000 /,2
Г,,1,"1,1","1,3",1,"1,2","0,6",,,
Ferrari	              F 50,,520,471,325,"3,7",117,19,класс  E            купе               Италия                    90                              3,38 000 /,2
Г,,"1,5","1,4","1,7","0,7","1,4","0,6",,,
,ГАММА,,,,,,,,,
Renault	  Megane Coupe 1.9,,100,200,186,"12,1",78,39,класс B             хэтчбек                  Франция                       90                             1,8200 /,4
У,,"0,8","0,7","0,9",2,"0,8","0,8",,,
Chevrolet	   Camaro,,160,271,212,"9,3",89,31,класс  B            купе                  США                       90                            2,12 500 /,3
У,,1,1,"1,3","1,7","0,8","0,8",,,
Porsche	       Boxster,,204,245,240,"6,9",114,27,класс  C            купе               Германия                     90                             2,16 500 /,3
Г,,1,1,"1,2","1,6","0,8","0,8",,,
Porsche	            911 Carrera 4S,,285,340,270,"5,3",100,64,класс D             купе               Германия                     90                             3,23 300 /,2
Г,,1,"0,8","1,1","1,2","1,3",1,,,
Ford	          Mondeo BTCC,,300,375,247,"4,7",101,11,класс  C            седан                      США                     90                              4                              автоспорт,35 000 /,1
С,,1,"1,1","1,3",1,1,"0,7",,,
Porsche	              911 GT1,,544,600,308,"3,9",116,20,класс E             купе              Германия                     90                              3                             widow maker,37 900 /,2
Г,,"1,3","1,5","1,7","0,7","1,4","0,6",,,
Ferrari	              FX,,440,490,330,4,108,21,класс  E            купе               Италия                     90                              5                              коллекция,42 000 /,1
Г,,"1,2","1,2","1,5","0,8","1,4","0,6",,,
,дельта,,,,,,,,,
Renault             Laguna 1.8,,120,165,203,"10,7",75,35,класс B             хэтчбек                  Франция                       90                             1,8800 /,4
У,,"0,9",1,"0,9","1,9","0,8",1,,,
BMW	           316i Coupe,,102,150,192,14,88,28,класс  B            купе                  Германия                       90                             1,8900 /,4
У,,"0,9",1,"1,1","2,4","0,8","0,8",,,
"BMW                        Z3  ""James Bond Edition""",,140,180,205,"9,5",99,26,класс  B            купе               Германия                     90                             4                         коллекция,18 000 /,1
У,,1,"1,2","1,3","1,7","0,8","0,8",,,
Ford	          Mustang Cobra SVT,,309,407,245,"6,1",82,33,класс C              купе                  США                       90                            2                            muscle car,19 400 /,3
Г,,1,"1,3","1,3","1,6","0,8","0,8",,,
Ferrari	            550 Maranello,,492,569,308,"4,4",111,27,класс E             купе               Италия                    90                              3,36 000 /,2
Г,,"1,2",1,"1,5",1,"1,4","0,6",,,
Lamborghini	Diablo SV,,510,580,328,"3,9",99,22,класс  E            купе               Италия                    90                              3,36 500 /,2
Г,,"1,3","1,3","1,5","0,7","1,4","0,6",,,
Lamborghini	Raptor,,492,580,330,"3,9",99,20,класс  E            купе               Италия                     90                              5                              коллекция,43 800 /,1
Г,,"1,3","1,2","1,4","0,7","1,5","0,6",,,
Porsche	            911 Turbo S Le Mans GT,,475,584,333,"3,9",119,16,класс   E           купе               Германия                     90                              5                         автоспорт,47 500 /,1
Г,,"1,1","1,1","1,1","0,8","1,2","0,6",,,
,1998,,,,,,,,,
,АЛЬФА,,,,,,,,,
Ford	                       Ka,,60,103,155,"15,4",79,29,класс A             хэтчбек                  США                       90                             1,4000 /,4
У,,"0,7","0,8","0,7","2,5","0,8","0,7",,,
BMW                   528i,,193,280,236,"7,5",84,39,класс  C            седан                  Германия                       90                             2,13 800 /,3
У,,"1,2","1,1","1,2","1,6","0,8",1,,,
BMW                      Z3,,192,280,225,"6,9",99,26,класс  C            купе                 Германия                       90                             2,14 000 /,3
У,,"1,2","1,1","1,4","1,5","0,8","0,8",,,
Porsche	              911 Turbo S,,450,585,296,"3,9",110,59,класс E             купе               Германия                     90                              3,32100,2
Г,,"1,3",1,"1,2","0,8","1,2","0,8",,,
Ferrari                      456 М  GT,,442,550,300,"4,9",101,28,класс D             купе               Германия                     90                              3                      комфорт,35 000 /,2
Г,,"1,1","1,1","1,2","1,1","1,2","0,8",,,
Renault	     Helem V6 GT1,,550,633,331,"3,3",126,11,класс  R            купе               Франция                     90                             5                          автоспорт,38 000 /,1
С,,"1,1","1,1","1,2","0,8","1,5","0,6",,,
,бета,,,,,,,,,
Renault	          Clio,,75,107,175,"10,9",69,33,класс A             хэтчбек                  Франция                       90                             1,5000 /,4
У,,"0,8","0,9",1,"1,9","0,8","0,8",,,
Ford	              Crown Victoria,,213,366,200,"10,4",70,40,класс  B            седан                  США                       90                             2                          комфорт,13 400 /,3
У,,"0,9","0,9","1,1","1,8","0,8",1,,,
Ford	             Expedition 2WD,,243,397,170,11,40,115,класс C             внедорожник               США                     90                               2                                   комфорт,16 000 /,3
В,,"1,2","1,4","0,7","1,5","0,8","1,2",,,
BMW	             M5,,400,500,250,"5,3",92,30,класс D             седан                  Германия                       90                             3,25 000 /,2
Г,,"0,9","0,8","1,4","1,4","1,2","0,8",,,
Ford                 Expedition Himalaya,,263,474,165,10,46,191,класс C             внедорожник               США                     90                              5,37 000 /,1
В,,"1,3",1,"0,7","1,5","0,8","0,8",,,
Lamborghini	Diablo GT1,,655,685,350,3,103,18,класс  R            купе               Италия                     90                             5                              коллекция                               widow maker,48 000 /,1
Г,,1,"1,1","1,3","0,6","1,3","0,6",,,
,ГАММА,,,,,,,,,
Renault          	Clio RXE,,90,131,175,11,72,37,класс A             хэтчбек                  Франция                       90                             1,6000 /,4
У,,"0,8","0,9",1,"1,9","0,8","0,8",,,
Ford	               Grand Marquis,,200,340,215,9,66,44,класс B             седан                  США                       90                             2                          комфорт,13 000 /,3
У,,"1,1","1,4",1,"1,5","0,7",1,,,
Ford	                    F-150,,231,370,190,9,44,173,класс  C            внедорожник               США                     90                               2,17 000 /,3
В,,1,"1,4","0,5","1,3","0,8",1,,,
BMW	               850 Ci,,326,490,250,"6,3",93,28,класс  D            купе               Германия                     90                             3                          комфорт,22 700 /,2
У,,"1,1","0,9","1,4","1,5","1,2","0,8",,,
BMW	        320d 24-hour Racing,,274,405,248,"5,5",103,14,класс C             купе               Германия                     90                              5                                 автоспорт,39 000 /,1
С,,1,"0,8","1,2","1,5","0,8","0,8",,,
,дельта,,,,,,,,,
Ford             Focus 1.4,,75,125,171,"14,4",80,37,класс  A            хэтчбек                  США                       90                             1,6200 /,4
У,,1,"0,9","1,2","2,3","0,7","0,8",,,
Ford 	  Mustang,,152,291,202,"9,5",76,33,класс B             купе                  США                       90                            2,12 000 /,3
У,,"1,1","1,3","1,4","1,9","0,8","0,8",,,
BMW	             540i Sedan M Sport Package,,286,440,250,"6,2",89,35,класс C             седан                  Германия                       90                             2,18 600 /,3
Г,,1,"0,8","1,2","1,5","0,8",1,,,
"Chevrolet	        Camaro Z28 ""30th Anniversary""",,285,484,247,6,93,31,класс  C            купе                  США                       90                            3                            muscle car,19 000 /,2
Г,,"1,3",1,"1,2","1,5","0,8","0,7",,,
Porsche	                911 GT2 Evo,,600,590,311,"3,3",104,27,класс  E            купе              Германия                     90                              4                             widow maker,44 000 /,1
Г,,1,1,"1,3","0,6","1,4","0,6",,,
,2000,,,,,,,,,
,АЛЬФА,,,,,,,,,
Renault	             Clio,,75,114,170,"12,5",72,33,класс   A           хэтчбек                  Франция                       00                             1,4800 /,4
У,,"0,8","0,9",1,2,"0,7","0,8",,,
Renault         Scenic RX4    1.9,,105,200,160,"14,8",65,125,класс   B           хэтчбек                  Франция                       00                            2,9900 /,3
У,,"0,8","0,8","0,6","1,5","0,8","0,8",,,
Renault          	Clio RS,,169,200,220,"7,3",87,30,класс  B            хэтчбек                  Франция                       00                           2                              hot hatch,10 300 /,3
Г,,"0,7","0,8","0,9","1,4",1,"0,8",,,
Porsche	 Boxster S,,252,305,260,"5,9",119,24,класс C             купе                  Германия                       00                             2,17 800 /,3
Г,,1,"0,9","1,2","1,3","0,8","0,6",,,
BMW	            Z3 M,,321,350,221,"5,3",104,24,класс    C          купе                 Германия                       00                             2,19 200 /,3
Г,,1,1,"1,6","1,1","0,8","0,6",,,
Porsche	           911 GT3,,360,370,302,"4,8",126,25,класс   D           купе                  Германия                      00                             3,27 700 /,2
Г,,"0,8",1,1,"1,2","1,2","0,6",,,
Ferrari	            F 355 Serie Fiorano,,375,360,295,"4,6",120,23,класс D             купе               Италия                    00                              4                         коллекция,30 000 /,1
Г,,1,"1,1","1,3",1,1,"0,6",,,
Lamborghini	Diablo GT-R,,590,640,350,"3,5",106,21,класс R             купе               Италия                     00                              4                        автоспорт                  widow maker,40 000 /,1
С,,"1,2","1,2","1,3","0,6","1,2","0,6",,,
,БЕТА,,,,,,,,,
Ford             Focus 1.6,,100,143,176,"12,4",80,37,класс  A            хэтчбек                  США                       00                             1,6600 /,4
У,,1,"0,9","1,2","2,1","0,7","0,8",,,
Chevrolet 	Tracker,,122,182,155,12,54,90,класс B             внедорожник                 США                       00                             1,9700 /,4
У,,"0,7","0,8","0,6","1,3","0,8","1,2",,,
Chevrolet 	Monte Carlo SS,,203,306,229,"6,9",78,35,класс C             купе                  США                       00                             2,13 400 /,3
Г,,"1,2","1,3","1,2","1,3","0,8",1,,,
BMW	              740i,,238,345,244,"7,6",72,41,класс C             седан                  Германия                       00                             2                          комфорт,17 300 /,3
У,,"1,3","1,1","1,3","1,4","0,6",1,,,
Chevrolet 	Camaro SS,,329,468,257,"5,2",93,30,класс  D            купе                  США                       00                             3                     muscle car,19 500 /,2
Г,,"1,3",1,"1,5",1,1,"0,8",,,
Ford        	Mustang SVT Cobra R,,390,522,274,"4,7",90,30,класс D             купе                  США                       00                             4                     коллекция                           muscle car,25 000 /,1
Г,,1,"1,2",1,1,1,"0,8",,,
Porsche	           911 Turbo,,420,560,306,"4,2",103,60,класс  E            купе                  Германия                      00                             3,30 500 /,2
Г,,"1,3","1,2","1,4","0,9","1,2","0,8",,,
Porsche	    Carrera GT,,612,590,330,"3,9",121,19,класс   R           купе               Германия                    00                              3,38 900 /,2
Г,,"1,1","1,2","1,5","0,9","1,3","0,6",,,
,ГАММА,,,,,,,,,
Renault	   Megane,,90,128,184,"11,5",78,39,класс  A            хэтчбек                  Франция                       00                            1,6800 /,4
У,,"0,8","0,8","0,8","1,9","0,6","0,8",,,
Renault	  Megane Coupe 1.9,,150,185,215,"8,6",78,39,класс  B            хэтчбек                  Франция                       00                            1                              hot hatch,9600 /,4
У,,"0,8","0,8","0,8","1,5","0,8","0,8",,,
BMW	       328Ci Coupe,,193,280,237,"8,1",89,34,класс   C           купе                  Германия                       00                             2,13 600 /,3
У,,"1,2","1,1","1,2","1,7","0,8","0,8",,,
Chevrolet	     Caprice,,306,460,230,"7,7",69,42,класс  C            седан                  США                       00                             2                          комфорт,17 000 /,3
У,,"1,2","1,1","1,3","1,5","0,6",1,,,
Ford	                  F-250 Super Duty,,250,685,190,10,39,170,класс  D            внедорожник                 США                       00                            2,20 800 /,2
В,,"1,2","1,2","0,6",1,"0,8","0,8",,,
Ford	           Mustang FR500,,415,495,270,"4,5",87,30,класс D             купе                  США                       00                             3                     muscle car                  автоспорт,24 000 /,2
С,,1,"1,2",1,1,1,"0,8",,,
Ferrari	          360 Modena,,400,373,297,"4,5",119,22,класс  D            купе               Италия                    00                              3,32 000 /,2
Г,,"0,9",1,"1,2",1,"1,2","0,6",,,
Chevrolet	     Corvette Daytona 24 Hour Pace Car,,305,476,264,5,94,26,класс D             купе              США                     00                            5                     коллекция,37 000 /,1
С,,"1,2","1,2","1,5","1,2","1,2","0,8",,,
Ferrari	        Rossa,,485,568,300,"4,5",117,20,класс E             купе               Италия                     00                              5                            коллекция,45 000 /,1
Г,,"1,2",1,"1,4",1,"1,2","0,8",,,
,ДЕЛЬТА,,,,,,,,,
Ford	                   Focus ZTS,,131,183,180,"9,6",84,34,класс  B            седан                  США                       00                             2,8700 /,3
У,,1,"0,9","1,3","1,7","0,8","0,8",,,
Renault             Laguna 2.0,,140,188,210,"9,8",75,35,класс   B           хэтчбек                  Франция                       00                            1,9200 /,4
У,,"0,9",1,"0,9","1,8","0,8",1,,,
BMW	        325Xi,,192,245,234,"7,4",85,80,класс C             седан                  Германия                       00                             2,14 500 /,3
У,,"1,2","1,1","1,2","1,6","0,8",1,,,
Renault	           Clio V6,,230,300,236,"6,4",91,26,класс  C            хэтчбек                  Франция                       00                           3                              hot hatch                                  widow maker,16 000 /,2
Г,,1,1,"1,2","1,5",1,"0,7",,,
BMW	             X5 3.0,,231,300,215,"8,3",60,140,класс   C           внедорожник                 Германия                      00                            2,21 000 /,3
В,,1,1,"0,7","0,9","0,8",1,,,
Ford	           Excursion,,329,745,197,"11,2",35,162,класс  D            внедорожник                 США                       00                            3,23 000 /,2
В,,"1,1","1,1","0,6","1,2","0,8","0,8",,,
Lamborghini	Diablo GT,,575,630,338,"3,8",102,23,класс  E            купе               Италия                     00                              3,36 400 /,2
Г,,"1,2","1,2","1,4","0,9","1,2","0,6",,,
Lamborghini	Diablo VT 6.0,,550,620,335,"3,95",100,51,класс E             купе               Италия                     00                              3,37 000 /,2
Г,,"1,2","1,2","1,4","0,9","1,2","0,8",,,
BMW	              V12 LMR,,580,670,352,"3,4",120,10,класс   R           купе               Германия                     00                              5                                автоспорт,47 200 /,1
С,,"1,3",1,"1,5","0,9","1,4","0,6",,,
,2002,,,,,,,,,
,АЛЬФА,,,,,,,,,
Ford	             Fiesta,,80,124,166,"13,2",73,30,класс A             хэтчбек                  США                       00                             1,4800 /,4
У,,"0,7","0,8",1,"2,1","0,6","0,8",,,
Ford	            Mondeo ST220,,226,285,243,"7,1",87,37,класс C             седан                  США                       00                             2,14 700 /,3
Г,,"1,1","1,1","1,1","1,1","0,8",1,,,
Chevrolet	  Tahoe 2WD,,299,477,170,"9,2",44,102,класс   C           внедорожник                 США                       00                            2,15 200 /,3
У,,"1,1","1,2","0,8","1,1","0,8",1,,,
Ford	                  F-150 Harley-Davidson Supercharged,,340,576,200,7,48,137,класс D             внедорожник                 США                       00                            3,22 000 /,2
Г,,1,"1,3",1,"1,1","0,8","1,2",,,
BMW	            X5 4.4,,286,440,210,"7,5",60,140,класс D             внедорожник                 Германия                       00                            2,23 600 /,3
В,,1,"0,8","0,9","0,9","0,8","1,1",,,
Ferrari	           360 GT,,400,373,296,"4,3",129,15,класс  D            купе               Италия                     00                             4                          автоспорт,36 000 /,1
С,,"0,9","1,1","1,2",1,"1,3","0,6",,,
Ford         	Focus RS WRC,,300,550,238,4,97,94,класс D             хэтчбек               США                    00                              5                       автоспорт,37 000 /,1
В,,"0,8","0,9","1,1","1,2","1,2","1,2",,,
,бета,,,,,,,,,
Renault	             Clio,,98,127,186,"11,3",72,33,класс  A            хэтчбек                  Франция                       00                             1,5300 /,4
У,,"0,8","0,9",1,"1,9","0,7","0,8",,,
Renault	           Vel Satis 2.0,,163,250,210,"9,6",76,37,класс B             хэтчбек                  Франция                       00                            2                            комфорт,14 000 /,3
У,,1,"1,1","0,9","1,5","0,7",1,,,
BMW	             M3,,333,355,250,"5,2",99,27,класс C             купе                  Германия                       00                             2,18 500 /,3
Г,,1,"1,2",1,"1,2","0,9","0,8",,,
Porsche	           911,,320,370,285,5,109,30,класс  D            купе                 Германия                       00                             3,22 000 /,2
Г,,"1,1","1,1","1,3","1,3","1,2","0,8",,,
Porsche             	911 Carrera 4S,,320,370,280,"5,1",110,63,класс  D            купе                 Германия                       00                             3,24 400 /,2
Г,,"1,1","1,1","1,3","1,4","1,2","0,8",,,
Lamborghini	Diablo VT 6.0 SE,,550,620,330,"3,9",106,49,класс E             купе               Италия                     00                             4                          коллекция,35 000 /,1
Г,,"1,2","1,2","1,4","0,9","1,2","0,8",,,
Lamborghini	Murcielago,,580,650,330,"3,9",109,55,класс  R            купе               Италия                     00                              3,38 000 /,2
Г,,"1,3","1,3","1,7","1,2","1,3","0,8",,,
,ГАММА,,,,,,,,,
Ford             Focus 1.8,,115,160,198,"10,3",80,37,класс B             хэтчбек                  США                       00                             1,6800 /,4
У,,1,1,"1,1","1,8","0,9","0,8",,,
Chevrolet	      Camaro,,203,305,201,"8,5",87,32,класс B             купе                  США                       00                             2,13 200 /,3
У,,"1,2","1,1","1,3","1,7","0,8","0,8",,,
BMW	          X5 3.0d,,184,410,200,"10,1",60,140,класс   C           внедорожник                 Германия                      00                            2,19 300 /,3
В,,"0,9",1,"0,7","0,9","0,8",1,,,
Porsche  	Cayenne,,250,310,214,"9,1",68,149,класс   C           внедорожник                 Германия                       00                            2,21 000 /,3
В,,"1,1","1,2","0,9","1,5","0,7",1,,,
BMW	             Z8,,400,500,250,"4,7",96,27,класс D             купе                 Германия                       00                             3                   комфорт                    коллекция,25 600 /,2
Г,,1,"0,8","1,4","0,9","1,2","0,7",,,
